Cell,GABA_AugmentedGIFs,GABA_GIFs,GABA_iGIF_NPs,GABA_iGIF_VRs
DRN351,0.5659897133497122,0.24709275597116354,0.24709275597116354,0.24709275597116354
DRN354,0.6227708070506817,0.29014141928477577,0.29014141928477577,0.29014141928477577
DRN355,0.7445317896923276,0.37575014929781625,0.37575014929781625,0.37575014929781625
DRN356,0.7187491177436336,0.33589625898241937,0.33589625898241937,0.33589625898241937
DRN357,0.5921593174012391,0.25233795226471445,0.25233795226471445,0.25233795226471445
SOM_6_LW,0.8934373106363952,0.7574672756144578,0.7574672756144578,0.7574672756144578
SOM_9_LW,0.8939429912617897,0.7514370997457243,0.7514370997457243,0.7514370997457243
SOM_14_LW,0.8613453007811132,0.8146164133008189,0.8146164133008189,0.8146164133008189
DRN415,0.8877384040401162,0.7135587172642008,0.7135587172642008,0.7135587172642008
DRN416,0.8779668282699418,0.7289380111957566,0.7289380111957566,0.7289380111957566
DRN419,0.8926493011318395,0.7487835351008656,0.7487835351008656,0.7487835351008656
DRN421,0.9110449578260966,0.7905372417098696,0.7905372417098696,0.7905372417098696
DRN422,0.8781788947081572,0.7314754523453025,0.7314754523453025,0.7314754523453025
DRN424,0.9365781049815961,0.8485771762252705,0.8485771762252705,0.8485771762252705
